district,dbn,school_type,school_name,impact,performance
1,84M320,Elementary,Manhattan Charter School,0.76,0.6
3,84M329,Elementary,Harlem Link Charter School,0.27,0.34
1,84M330,K-8,Girls Preparatory Charter School of New York,0.57,0.53
4,84M335,High School,Harlem Village Academy Leadership Charter School,0.46,0.73
4,84M335,Middle,Harlem Village Academy Leadership Charter School,0.4,0.45
5,84M336,High School,KIPP Infinity Charter School,0.58,0.67
5,84M336,K-8,KIPP Infinity Charter School,0.76,0.61
5,84M341,High School,Harlem Children's Zone Promise Academy II Charter,,
5,84M341,K-8,Harlem Children's Zone Promise Academy II Charter,0.64,0.56
5,84M350,High School,Democracy Prep Charter School,0.6,0.72
5,84M350,Middle,Democracy Prep Charter School,0.84,0.6
3,84M351,K-8,Success Academy Charter School - Harlem 1,0.71,0.73
6,84M353,High School,New Heights Academy Charter School,0.5,0.48
6,84M353,Middle,New Heights Academy Charter School,0.27,0.31
4,84M382,K-8,DREAM Charter School,0.69,0.49
5,84M384,Elementary,Success Academy Charter School - Harlem 2,0.53,0.88
4,84M385,K-8,Success Academy Charter School - Harlem 3,0.99,1
3,84M386,K-8,Success Academy Charter School - Harlem 4,1,0.99
5,84M388,Middle,St. HOPE Leadership Academy Charter School,0.36,0.3
6,84M430,Middle,The Equity Project Charter School (TEP),0.58,0.39
4,84M433,High School,Renaissance Charter High School for Innovation,0.49,0.25
6,84M478,Middle,Inwood Academy for Leadership Charter School,0.4,0.29
5,84M481,High School,Democracy Prep Harlem Charter School,,
5,84M481,Middle,Democracy Prep Harlem Charter School,0.57,0.38
5,84M482,Elementary,Success Academy Charter School - Harlem 5,0.98,0.98
3,84M483,Elementary,New York French American Charter School,0.39,0.46
4,84M518,Elementary,East Harlem Scholars Academy Charter School,0.82,0.51
3,84M523,Elementary,Success Academy Charter School - Upper West,1,1
1,84M524,Middle,Innovate Manhattan Charter School,0.27,0.33
3,84M702,Elementary,Sisulu-Walker Charter School of Harlem,0.48,0.5
4,84M704,K-8,Harbor Science and Arts Charter School,0.7,0.54
4,84M705,Elementary,Amber Charter School,0.6,0.59
4,84M708,K-8,Harlem Prep Charter School,0.5,0.41
5,84M709,High School,Harlem Village Academy Charter School,0.43,0.59
5,84M709,Middle,Harlem Village Academy Charter School,0.49,0.41
5,84M726,High School,KIPP STAR College Prep Charter School,0.72,0.7
5,84M726,Middle,KIPP STAR College Prep Charter School,0.75,0.53
3,84M861,K-8,Future Leaders Institute Charter School,0.46,0.4
24,84Q083,Middle,Central Queens Academy Charter School,0.92,0.73
27,84Q170,Elementary,Peninsula Preparatory Academy Charter School,0.31,0.44
24,84Q298,Middle,Middle Village Prep Charter School,0.73,0.74
30,84Q304,K-8,VOICE Charter School of New York,0.59,0.67
30,84Q321,Elementary,Growing Up Green Charter School,0.48,0.57
27,84Q340,Elementary,Challenge Preparatory Charter School,0.52,0.56
29,84Q341,K-8,Riverton Street Charter School,0.12,0.52
28,84Q342,Elementary,Rochdale Early Advantage Charter School,0.25,0.39
30,84Q359,Elementary,Academy of the City Charter School,0.36,0.47
29,84Q704,Elementary,Merrick Academy - Queens Public Charter School,0.05,0.35
30,84Q705,High School,Renaissance Charter School,0.65,0.71
30,84Q705,K-8,Renaissance Charter School,0.5,0.59
30,84Q706,K-8,Our World Neighborhood Charter School,0.28,0.61
31,84R067,High School,John W. Lavelle Preparatory Charter School,,
31,84R067,Middle,John W. Lavelle Preparatory Charter School,0.46,0.44
31,84R071,Elementary,Staten Island Community Charter School,0.27,0.31
31,84R073,Middle,New World Preparatory Charter School,0.61,0.45
12,84X124,Elementary,Children's Aid College Prep Charter School,,
9,84X133,Elementary,Icahn Charter School 6,0.67,0.77
9,84X165,Elementary,Grand Concourse Charter School,0.75,0.7
9,84X177,Middle,Mott Hall Charter School,0.22,0.32
12,84X185,High School,Bronx Lighthouse Charter School,0.74,0.66
12,84X185,K-8,Bronx Lighthouse Charter School,0.27,0.34
8,84X202,High School,New Visions Charter High School for Advanced Math,,
7,84X208,High School,New Visions Charter High School for the Humanities,,
7,84X233,Elementary,Family Life Academy Charter School II,,
11,84X255,K-8,Bronx Charter School for Excellence,0.61,0.77
7,84X256,Elementary,Heketi Community Charter School,,
10,84X258,Middle,Tech International Charter School,0.19,0.28
7,84X309,Elementary,South Bronx Charter School for International Cultu,0.22,0.46
8,84X345,High School,Hyde Leadership Charter School,0.75,0.68
8,84X345,K-8,Hyde Leadership Charter School,0.52,0.45
12,84X346,K-8,South Bronx Classical Charter School,0.89,0.92
10,84X347,High School,International Leadership Charter High School,0.67,0.74
8,84X362,Elementary,Icahn Charter School 7,,
11,84X378,K-8,Icahn Charter School 2,0.56,0.81
7,84X389,K-8,Bronx Global Learning Institute for Girls Charter,0.41,0.54
7,84X393,High School,University Prep Charter High School,0.77,0.7
7,84X394,Elementary,Mott Haven Academy Charter School,0.93,0.61
7,84X395,High School,"NYC Charter High School for Architecture, Engineer",0.66,0.53
10,84X398,Elementary,Bronx Community Charter School,0.4,0.41
7,84X407,Elementary,Bronx Charter School for Children,0.22,0.29
9,84X419,K-8,Bronx Academy of Promise Charter School,0.51,0.48
11,84X422,K-8,Icahn Charter School 3,0.41,0.53
9,84X461,Elementary,Metropolitan Lighthouse Charter School,0.18,0.3
7,84X471,Middle,American Dream Charter School,0.55,0.35
12,84X482,High School,Dr. Richard Izquierdo Health and Science Charter S,,
12,84X482,Middle,Dr. Richard Izquierdo Health and Science Charter S,0.39,0.4
8,84X487,Elementary,Girls Preparatory Charter School of the Bronx,0.63,0.52
11,84X488,High School,The Equality Charter School,,
11,84X488,Middle,The Equality Charter School,0.58,0.42
7,84X491,Elementary,Academic Leadership Charter School,0.81,0.67
7,84X493,Elementary,Success Academy Charter School - Bronx 1,0.9,0.99
9,84X494,Elementary,Success Academy Charter School - Bronx 2,0.77,0.98
11,84X496,K-8,Icahn Charter School 4,0.8,0.87
11,84X538,Elementary,Icahn Charter School 5,0.53,0.78
10,84X539,High School,New Visions Charter High School for Advanced Math,0.47,0.48
10,84X553,High School,New Visions Charter High School for the Humanities,0.54,0.43
7,84X554,Elementary,New York City Montessori Charter School,0.32,0.22
9,84X703,High School,Bronx Preparatory Charter School,0.48,0.63
9,84X703,Middle,Bronx Preparatory Charter School,0.47,0.44
7,84X704,High School,KIPP Academy Charter School,0.71,0.76
7,84X704,K-8,KIPP Academy Charter School,0.57,0.54
9,84X705,K-8,Family Life Academy Charter School,0.48,0.47
9,84X706,K-8,Harriet Tubman Charter School,0.43,0.45
9,84X717,K-8,Icahn Charter School,0.36,0.67
11,84X718,Elementary,Bronx Charter School for Better Learning,0.65,0.67
8,84X730,Elementary,Bronx Charter School for the Arts,0.88,0.64
